,name,rating,rom,display,camera,processor,price
2866,"APPLE iPhone 6 (Space Grey, 64 GB)",4.4,64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera,A8 Chip with 64-bit Architecture and M8 Motion Co-processor,"₹44,999"
2867,"APPLE iPhone 8 (Space Grey, 64 GB)",4.5,64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor","₹39,149"
2868,"Apple iPhone 11 (Purple, 256 GB) (Includes EarPods, Power Adapter)",4.6,256 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,"₹64,900"
2869,"APPLE iPhone 7 Plus (Red, 128 GB)",4.5,128 GB ROM,13.94 cm (5.488 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,"₹42,900"
2870,"APPLE iPhone 6s (Space Grey, 16 GB)",4.5,16 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 Chip with 64-bit Architecture and M9 Motion Co-processor,"₹62,000"
2871,"APPLE iPhone 8 Plus (Gold, 256 GB)",4.6,256 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor","₹84,900"
2872,"APPLE IPhone 4 (Black, 8 GB)",4.1,8 GB ROM,8.89 cm (3.5 inch) NA Display,5MP Rear Camera | 0.3MP Front Camera,1 Year Manufacturer Warranty,"₹22,900"
2873,"APPLE iPhone 7 Plus (Silver, 32 GB)",4.5,32 GB ROM,13.94 cm (5.488 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,"₹37,249"
2874,"APPLE iPhone 6s Plus (Silver, 128 GB)",4.4,128 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 Chip with 64-bit Architecture and M9 Motion Co-processor,"₹70,000"
2875,"APPLE iPhone 7 Plus (Silver, 128 GB)",4.5,128 GB ROM,13.94 cm (5.488 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,"₹42,900"
2876,"APPLE iPhone 5C (Yellow, 8 GB)",3.9,8 GB ROM,10.16 cm (4 inch) Retina Display,8MP Rear Camera | 1.2MP Front Camera,A6 Chip Processor,"₹37,500"
2877,"APPLE iPhone 5C (Pink, 8 GB)",3.9,8 GB ROM,10.16 cm (4 inch) Retina Display,8MP Rear Camera | 1.2MP Front Camera,A6 Chip Processor,"₹37,500"
2878,"APPLE iPhone 7 (Red, 128 GB)",4.5,128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,"₹34,900"
2879,"Apple iPhone 11 (Purple, 128 GB) (Includes EarPods, Power Adapter)",4.6,128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,"₹54,900"
2880,"APPLE iPhone 11 (White, 64 GB)",4.6,64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,"₹46,999"
2881,"APPLE iPhone 13 (Midnight, 128 GB)",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,"₹73,999"
2882,"APPLE iPhone 13 (Pink, 128 GB)",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,"₹73,999"
2883,"APPLE iPhone 11 (Black, 64 GB)",4.6,64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,"₹46,999"
2884,"APPLE iPhone 11 (Purple, 64 GB)",4.6,64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,"₹46,999"
2885,"APPLE iPhone 13 (Starlight, 128 GB)",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,"₹73,999"
2886,"APPLE iPhone 11 (White, 128 GB)",4.6,128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,"₹51,999"
2887,"APPLE iPhone SE (Red, 128 GB)",4.5,128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor,"₹35,499"
2888,"APPLE iPhone 13 (Blue, 128 GB)",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,"₹73,999"
2889,"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,"₹73,999"
2890,"APPLE iPhone 12 Mini (Red, 64 GB)",4.5,64 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,"₹49,999"
2891,"APPLE iPhone 11 (Black, 128 GB)",4.6,128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,"₹51,999"
2892,"APPLE iPhone 11 (Purple, 128 GB)",4.6,128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,"₹51,999"
2893,"APPLE iPhone SE (Red, 64 GB)",4.5,64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor,"₹30,499"
2894,"APPLE iPhone 11 (Red, 64 GB)",4.6,64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,"₹46,999"
2895,"APPLE iPhone 11 (Red, 128 GB)",4.6,128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,"₹51,999"
2896,"APPLE iPhone 12 (Green, 128 GB)",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,"₹64,999"
2897,"APPLE iPhone 13 Mini (Blue, 128 GB)",4.5,128 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,"₹64,999"
2898,"APPLE iPhone 12 (Black, 128 GB)",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,"₹64,999"
2899,"APPLE iPhone 11 (Green, 128 GB)",4.6,128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,"₹51,999"
